frame	type	x	y
17	orientation_diff	247.6904296875	291.03050231933594
18	orientation_diff	249.50738906860352	283.0295944213867
36	orientation_diff	496.445858001709	898.0776634216309
37	orientation_diff	495.87313079833984	896.4612274169922
38	orientation_diff	495.8365821838379	896.3431625366211
39	orientation_diff	493.9947929382324	896.2645149230957
40	orientation_diff	496.806697845459	896.0227165222168
41	orientation_diff	496.1441078186035	896.1514167785645
42	orientation_diff	496.41769790649414	897.3265533447266
43	orientation_diff	493.6127281188965	899.1096992492676
44	orientation_diff	494.7385368347168	899.1511344909668
45	orientation_diff	491.28042221069336	896.7929515838623
46	orientation_diff	492.4523582458496	894.1900901794434
47	orientation_diff	489.91515731811523	896.7339210510254
48	orientation_diff	489.1515998840332	895.5431594848633
49	orientation_diff	488.3068428039551	894.7396106719971
50	orientation_diff	487.6903553009033	894.700740814209
51	orientation_diff	489.2665672302246	897.3142414093018
52	orientation_diff	490.75889587402344	896.7476539611816
53	orientation_diff	490.8359565734863	898.9335918426514
54	orientation_diff	487.2273826599121	896.8839225769043
55	orientation_diff	491.1458206176758	892.2981395721436
56	orientation_diff	487.49161529541016	895.6781349182129
57	orientation_diff	489.3666191101074	895.27614402771
58	orientation_diff	489.42091369628906	895.2798404693604
59	orientation_diff	488.47264862060547	895.2900524139404
60	orientation_diff	491.05802726745605	891.387077331543
61	orientation_diff	490.95386505126953	892.1188468933105
62	orientation_diff	492.619197845459	892.1425895690918
63	orientation_diff	488.7375717163086	895.8366394042969
74	orientation_diff	487.90465927124023	885.7242202758789
75	orientation_diff	486.81621170043945	882.89892578125
76	orientation_diff	487.8454475402832	880.9836959838867
77	orientation_diff	486.5615882873535	882.4298210144043
78	orientation_diff	485.12663650512695	880.5074806213379
81	orientation_diff	489.1204147338867	880.3292617797852
82	orientation_diff	487.74182891845703	879.1976280212402
83	orientation_diff	489.70425033569336	877.8436336517334
84	orientation_diff	489.0881996154785	877.0914916992188
85	orientation_diff	489.08628845214844	876.4144763946533
86	orientation_diff	489.2602958679199	874.8431167602539
87	orientation_diff	490.51780700683594	873.4947776794434
88	orientation_diff	491.5686836242676	873.9296932220459
125	orientation_diff	602.7146377563477	588.943400700887
248	orientation_diff	348.6379699707031	154.56093215942383
249	orientation_diff	351.1086082458496	158.6695899963379
250	orientation_diff	356.4767761230469	161.01120376586914
251	orientation_diff	355.2105407714844	172.26687240600586
283	orientation_diff	285.64038848876953	226.99354934692383
288	orientation_diff	590.9611873626709	864.5043487548828
289	orientation_diff	593.0922889709473	848.758602142334
290	orientation_diff	599.3902626037598	836.7255859375
291	position_diff	400.9239273071289	847.3177146911621
293	orientation_diff	403.7526550292969	847.5225868225098
294	position_diff	402.2980613708496	845.7822132110596
295	orientation_diff	406.1074409484863	850.6293296813965
296	orientation_diff	403.7466697692871	845.2694606781006
297	orientation_diff	401.08593368530273	845.107780456543
300	orientation_diff	414.80271911621094	852.2057647705078
301	orientation_diff	413.8826217651367	848.4815788269043
302	orientation_diff	413.977840423584	848.242431640625
303	orientation_diff	415.2299690246582	847.6455402374268
304	orientation_diff	419.08643341064453	851.8982181549072
305	orientation_diff	419.0916213989258	851.0998916625977
306	orientation_diff	415.786922454834	845.8731136322021
307	orientation_diff	415.2474479675293	844.7951488494873
308	orientation_diff	415.9997253417969	845.1818656921387
309	orientation_diff	416.9571723937988	844.6809883117676
310	orientation_diff	418.27832794189453	843.8707885742188
311	orientation_diff	417.7526054382324	841.9224529266357
312	orientation_diff	419.3307304382324	839.5332984924316
313	orientation_diff	413.0052375793457	833.1053009033203
314	orientation_diff	418.25916290283203	836.0874919891357
315	orientation_diff	419.32108306884766	836.0313739776611
316	orientation_diff	421.6370735168457	838.5757598876953
317	orientation_diff	419.94385528564453	836.5682048797607
318	orientation_diff	423.86712137858075	836.1704374949137
319	orientation_diff	421.9054883321126	836.3693211873373
321	orientation_diff	427.0267906188965	837.2288341522217
